"collision_index","vehicle_reference","casualty_reference","casualty_class","casualty_severity","pedestrian_location","pedestrian_movement","car_passenger","casualty_type"
"197914C302101",1,1,1,3,0,0,0,104
"197901EIJGF00",1,1,1,3,0,0,0,109
"197903J303810",2,1,2,2,0,0,1,109
"1979309C00207",2,1,2,3,0,0,0,11
"197901I7RDK79",1,1,2,3,0,0,0,11
"1979980510174",1,1,3,3,9,5,0,0
"197995N79G033",1,1,1,3,0,0,0,109
"197932D035679",2,1,1,3,0,0,0,104
"1979219200077",2,1,3,2,9,5,0,0
"197997CA06012",1,1,3,2,4,1,0,0
"1979600C05055",1,1,3,3,9,5,0,0
"197907EJPEE80",1,1,3,3,5,9,0,0
"19794000B0269",1,1,1,3,0,0,0,104
"197937CMPG411",1,2,2,3,0,0,1,109
"197954AD07149",1,1,3,3,5,2,0,0
"197954AM05819",2,3,2,3,0,0,1,109
"197901KQUBE98",2,2,1,3,0,0,0,109
"197916L040144",1,1,3,3,5,1,0,0
"197995179G005",2,1,1,3,0,0,0,109
"197961A071790",1,1,3,2,5,3,0,0
"197903C6KF361",1,1,3,2,1,9,0,0
"197914A301910",2,1,1,3,0,0,0,103
"197952LNA0911",1,1,1,2,0,0,0,2
"197906N000744",1,2,2,3,0,0,2,109
"1979219300108",2,2,1,3,0,0,0,109
"1979557923822",1,1,3,3,1,1,0,0
"1979420040026",1,9,2,3,0,0,0,11
"197914E200443",1,1,1,2,0,0,0,109
"1979620A01870",2,2,2,2,0,0,0,104
"197950L900781",1,1,1,3,0,0,0,109
"1979620D03850",1,1,1,2,0,0,0,109
"197913H085079",2,1,1,2,0,0,0,104
"19799379W1305",1,1,1,2,0,0,0,19
"197997LA02707",1,1,2,2,0,0,1,109
"197943H106109",2,1,2,3,0,0,0,11
"197947CA90065",1,1,1,3,0,0,0,19
"197952EST1149",2,1,1,2,0,0,0,1
"1979355050479",1,1,3,3,5,3,0,0
"197943H019029",2,1,1,2,0,0,0,1
"197905K100875",1,2,2,3,0,0,0,19
"197920DRKC305",1,1,3,2,5,9,0,0
"197913N014379",1,1,1,3,0,0,0,104
"1979309C01024",1,1,1,2,0,0,0,109
"197912B068979",1,3,2,3,0,0,2,109
"197906D001866",1,1,3,3,4,3,0,0
"197952GFS0298",1,2,2,2,0,0,0,104
"197901LCSAK49",1,1,3,3,5,9,0,0
"197906C000147",1,1,3,3,5,1,0,0
"1979219100374",2,2,2,3,0,0,0,104
"197906P000854",1,1,1,2,0,0,0,109
"197901I9QGF05",1,1,2,2,0,0,0,104
"197906N001302",2,1,1,3,0,0,0,1
"1979040CD1051",1,1,2,1,0,0,0,19
"19794000D2739",2,1,1,2,0,0,0,104
"197950B291251",1,1,2,3,0,0,1,109
"197950A031430",1,3,2,3,0,0,1,109
"1979309A00599",1,1,1,3,0,0,0,104
"197913L129079",2,1,1,3,0,0,0,104
"1979557912600",1,1,1,3,0,0,0,1
"197901ERLAV91",1,1,3,3,10,5,0,0
"197913C120179",1,1,3,2,5,1,0,0
"197943D019119",1,1,3,3,1,3,0,0
"197905A200681",1,1,3,2,4,2,0,0
"1979220510017",2,1,1,2,0,0,0,104
"19799379E0852",1,2,2,3,0,0,1,109
"197907LLVHE60",1,1,3,3,5,9,0,0
"197901IEHKC68",1,1,1,3,0,0,0,113
"197905H201113",1,2,1,3,0,0,0,104
"197947YA90334",1,1,1,2,0,0,0,104
"197943H020079",1,1,1,3,0,0,0,2
"1979309B01129",2,1,1,3,0,0,0,104
"1979313200382",2,1,1,3,0,0,0,109
"197945AW00138",1,2,1,3,0,0,0,90
"197916R140659",1,1,1,2,0,0,0,109
"197906Q001609",2,1,1,3,0,0,0,1
"197901KNTDQ81",2,1,1,3,0,0,0,109
"197914D200393",1,1,2,3,0,0,0,11
"1979440AH0094",1,1,1,2,0,0,0,109
"197950A020596",1,2,2,3,0,0,2,109
"19793379S0795",1,2,2,3,0,0,2,109
"197901DQTAF25",1,1,3,2,5,9,0,0
"1979461208579",1,1,1,3,0,0,0,104
"197901EOWKD07",2,1,2,3,0,0,1,109
"1979440KF0724",4,2,1,2,0,0,0,1
"197947YA90160",2,1,1,3,0,0,0,109
"1979440BS0045",1,1,1,3,0,0,0,109
"197901I2MGU64",1,2,3,3,5,9,0,0
"197906G001755",1,1,1,3,0,0,0,104
"197917F101480",1,1,3,3,5,1,0,0
"197906B000966",1,1,1,3,0,0,0,104
"1979440CR0102",3,1,1,3,0,0,0,109
"197907ARIHQ30",1,1,1,3,0,0,0,109
"1979557912217",2,6,2,3,0,0,2,109
"197947NA90208",2,1,1,2,0,0,0,109
"197901KDIEW17",1,1,1,3,0,0,0,2
"197920GFMDI00",1,1,3,2,5,9,0,0
"197950H610576",1,1,1,2,0,0,0,113
"197997PB01907",1,1,1,3,0,0,0,19
"197952FBA0823",2,1,1,3,0,0,0,2
"197905J200201",1,1,3,2,5,4,0,0
"197945BD00153",2,1,1,2,0,0,0,1
"1979219200661",1,1,3,2,5,1,0,0
"1979219600208",1,1,1,3,0,0,0,104
"197945FD00110",1,1,3,3,5,3,0,0
"1979219500511",2,2,1,3,0,0,0,19
"197906L000042",1,1,1,3,0,0,0,109
"197912A238679",1,1,1,3,0,0,0,109
"197995479F041",1,1,2,3,0,0,0,19
"197906K001575",2,3,2,3,0,0,1,109
"197920IEMJO00",1,2,1,3,0,0,0,104
"197906C001348",1,3,2,3,0,0,1,109
"1979557923005",1,1,2,3,0,0,1,109
"197943B053109",2,1,1,3,0,0,0,1
"1979360020085",1,1,1,3,0,0,0,109
"19796379D0113",1,1,1,3,0,0,0,104
"197954DM03429",1,1,1,3,0,0,0,109
"19796379D0091",1,1,2,3,0,0,1,109
"197937B6IJ413",1,1,1,3,0,0,0,109
"19794000D2096",2,1,1,3,0,0,0,109
"197945AW00104",1,3,2,3,0,0,1,109
"197945AD00366",1,1,1,3,0,0,0,104
"197920IJQEI00",1,1,3,3,1,9,0,0
"197906N001948",2,4,2,3,0,0,2,109
"197901A9KLX03",1,1,3,3,6,9,0,0
"197934BR00455",1,1,1,2,0,0,0,109
"197947TA90464",2,2,2,2,0,0,0,104
"197910F067279",1,2,2,3,0,0,1,109
"19794141A1223",2,2,1,3,0,0,0,109
"197901HUPEC19",2,1,2,3,0,0,0,11
"197995N79C037",1,1,3,2,5,3,0,0
"1979420020378",1,3,1,3,0,0,0,109
"1979620B02570",1,1,3,3,5,2,0,0
"197901K9RAW19",2,1,1,3,0,0,0,1
"197901HSWLE72",3,1,1,3,0,0,0,109
"1979600A09142",1,1,1,3,0,0,0,109
"197950L760837",2,1,1,3,0,0,0,109
"1979440CB0136",2,1,1,3,0,0,0,104
"1979420020442",2,1,1,3,0,0,0,109
"197950J880573",2,2,1,2,0,0,0,104
"197954CZ03069",2,1,1,3,0,0,0,1
"197901JJOCJ19",1,1,1,2,0,0,0,104
"1979620B05330",1,1,3,3,5,2,0,0
"197901K4LGW01",1,1,1,3,0,0,0,109
"197920L5XDO20",1,1,3,2,5,9,0,0
"1979927901082",1,2,2,2,0,0,1,109
"1979530WI0047",2,3,1,2,0,0,0,109
"1979314113355",2,4,1,3,0,0,0,109
"1979462207979",2,1,1,3,0,0,0,104
"1979600C06005",1,1,1,3,0,0,0,109
"197920IMQGC90",1,2,3,3,5,9,0,0
"197901LBHEJ53",1,2,3,3,1,9,0,0
"197901H7SID64",1,1,3,3,6,9,0,0
"1979315101615",1,1,3,3,5,2,0,0
"197920L8MBO00",1,1,3,3,5,9,0,0
"1979440LS0134",1,1,2,2,0,0,1,109
"197906J002712",2,1,1,2,0,0,0,1
"197903J205170",1,1,1,2,0,0,0,104
"1979312211187",2,1,1,2,0,0,0,1
"197913H055079",2,1,1,3,0,0,0,109
"197905A200301",1,1,1,2,0,0,0,104
"19793379S0200",1,1,3,2,4,1,0,0
"197934AK00377",1,1,1,2,0,0,0,104
"197920CCHC505",1,1,2,3,0,0,1,109
"1979557924638",1,1,2,2,0,0,1,109
"197901HLSKI97",1,1,3,3,5,6,0,0
"19793379S0255",2,2,1,3,0,0,0,109
"197920GVSJO00",1,1,1,3,0,0,0,1
"197917G100048",1,4,2,3,0,0,2,109
"197913A117379",1,1,2,3,0,0,0,11
"197905A201036",1,1,3,3,4,2,0,0
"197945CA00435",1,1,1,3,0,0,0,1
"197913K109479",1,1,1,3,0,0,0,109
"197997RC92707",1,1,1,3,0,0,0,109
"197901K6IIE86",2,1,1,2,0,0,0,104
"1979463106679",1,3,3,1,6,8,0,0
"197954AD09769",2,1,1,2,0,0,0,104
"197901H4OJJ23",1,1,3,3,5,9,0,0
"1979220203033",1,1,1,2,0,0,0,2
"197907LSUJQ70",1,2,2,3,0,0,1,109
"1979220202007",1,1,1,3,0,0,0,109
"197906F001520",2,1,1,3,0,0,0,104
"197905H100930",1,1,3,3,5,3,0,0
"197901LKQFU93",1,1,2,3,0,0,0,11
"197950E351703",1,2,2,3,0,0,1,109
"197943C061129",2,1,1,3,0,0,0,104
"197912A164479",2,1,1,2,0,0,0,104
"1979360021050",2,2,1,3,0,0,0,104
"19794141F2009",2,1,1,3,0,0,0,109
"197901GCWAC94",1,1,2,3,0,0,1,109
"1979462200379",2,1,1,3,0,0,0,109
"197995379C058",2,2,2,3,0,0,1,109
"197906P001109",1,1,3,3,5,2,0,0
"197997DC10703",1,2,1,2,0,0,0,104
"197901BEGBE50",2,2,1,3,0,0,0,109
"197932C005379",1,1,1,3,0,0,0,109
"197997UB10905",1,1,1,3,0,0,0,104
"197997QB10102",1,1,1,3,0,0,0,109
"197997LC70507",1,4,1,3,0,0,0,109
"197932A010579",1,1,3,3,5,3,0,0
"1979440LS0128",1,1,1,2,0,0,0,104
"197901KBSAD42",1,1,3,3,1,9,0,0
"197920L3KKC00",2,1,2,3,0,0,0,11
"1979927900081",2,8,2,3,0,0,0,110
"197910A057079",2,3,2,3,0,0,1,109
"197995D79F049",1,1,1,3,0,0,0,109
"1979557921783",1,1,1,3,0,0,0,2
"197997LA01911",1,1,3,3,5,4,0,0
"1979927903518",1,1,3,3,8,2,0,0
"197912D121579",1,2,2,3,0,0,0,19
"197910D034479",1,4,2,3,0,0,0,11
"197910G043279",1,1,1,2,0,0,0,104
"197952FBA0182",2,1,1,3,0,0,0,1
"197920HBOLO00",1,1,3,2,5,9,0,0
"197997CB04801",1,1,3,3,9,9,0,0
"1979360050395",1,1,3,3,5,1,0,0
"1979219600057",1,1,1,3,0,0,0,104
"197952LWE0446",1,1,2,2,0,0,0,19
"1979440BT0105",2,1,2,3,0,0,1,109
"197914E100833",1,1,3,3,5,2,0,0
"197997QA02507",1,1,1,2,0,0,0,104
"197901KTUGE51",2,1,1,3,0,0,0,109
"1979461303819",2,1,1,3,0,0,0,104
"197910A009279",1,1,1,3,0,0,0,109
"1979600D06116",1,2,3,3,5,4,0,0
"197901CONEF70",1,1,3,3,5,9,0,0
"197901BJUKF03",2,2,1,3,0,0,0,109
"197997CD02307",1,2,2,3,0,0,2,109
"1979440DW0144",1,1,3,3,1,1,0,0
"197934DD00658",2,1,1,3,0,0,0,1
"197901FLQGE02",1,1,3,3,6,9,0,0
"1979040BB1016",1,1,1,2,0,0,0,109
"1979040BA1203",1,1,3,2,5,1,0,0
"1979353039179",1,1,1,3,0,0,0,113
"197954MA00199",1,1,1,3,0,0,0,109
"19793379E0437",1,3,2,3,0,0,2,109
"197905A200479",1,1,3,3,4,1,0,0
"197943B072099",1,1,1,2,0,0,0,1
"1979440CB0108",1,1,1,3,0,0,0,1
"197917F200220",2,2,2,3,0,0,1,109
"197916K060080",1,4,2,3,0,0,0,19
"197901K9RGC53",1,1,1,3,0,0,0,19
"19799379W0316",2,3,2,2,0,0,1,109
"197905E100969",1,1,2,3,0,0,1,109
"1979230001051",1,1,1,3,0,0,0,109
"197932B026479",2,1,1,2,0,0,0,1
"197901IJNAE94",1,1,1,3,0,0,0,109
"1979927906632",1,1,1,3,0,0,0,2
"1979600B02251",1,2,3,3,7,7,0,0
"197901IHSHD14",1,1,3,3,2,6,0,0
"197901CEVFD73",1,2,2,2,0,0,1,109
"19793379N0293",1,2,2,3,0,0,2,109
"197913F007279",1,1,1,3,0,0,0,11
"197910E025179",1,1,1,2,0,0,0,1
"197910H075879",2,1,1,3,0,0,0,109
"197995179E017",2,2,1,3,0,0,0,109
"197901B1CF734",1,1,1,3,0,0,0,109
"1979219400452",2,1,1,2,0,0,0,109
"197910A046179",1,1,1,3,0,0,0,1
"197910E043779",1,1,2,3,0,0,1,109
"197995O79B038",1,1,1,2,0,0,0,109
"197901D7UFQ06",2,1,2,3,0,0,0,2
"1979440CG0064",3,2,2,3,0,0,0,104
"19796379C0274",2,1,1,2,0,0,0,104
"197920A03X505",1,1,2,2,0,0,1,109
"197937BKSK315",2,1,2,3,0,0,1,109
"19796379C0218",1,1,1,3,0,0,0,104
"197934CS00595",2,1,1,2,0,0,0,104
"197943H022019",1,1,1,2,0,0,0,109
"197947CA90920",1,2,2,2,0,0,2,109
"197913N149079",1,1,3,3,5,3,0,0
"1979040DG2021",1,1,1,2,0,0,0,109
"197905F200500",1,1,1,2,0,0,0,104
"197997CB01809",1,1,2,1,0,0,0,19
"197901GHWEC92",1,1,1,3,0,0,0,104
"197995479B003",2,1,1,3,0,0,0,1
"197905D200824",1,1,1,3,0,0,0,2
"1979220312004",1,1,1,3,0,0,0,2
"197997EA06708",2,1,2,3,0,0,1,109
"197901K1XAR24",1,2,2,3,0,0,0,104
"1979530NI0496",2,1,1,3,0,0,0,109
"197901GCTJU94",1,1,3,3,6,9,0,0
"197997GA06406",1,1,1,3,0,0,0,109
"197937A05I356",1,1,3,3,5,9,0,0
"197947CA91282",1,1,3,3,5,2,0,0
"197901CUQKE53",1,1,1,3,0,0,0,109
"197913N153679",1,1,3,3,5,4,0,0
